n,method,relative_error,residual,relative_residual,error
5,gauss_no_pivot,1.5530382048406704e-12,2.220446049250313e-16,7.075359803288878e-17,
5,gauss_pivot,3.4933654655513675e-13,5.20740757162067e-16,1.6593189563883676e-16,
5,lu,1.776769413182146e-11,4.965068306494546e-16,1.5820985485423471e-16,
10,gauss_no_pivot,4.5939517967576106e-05,4.002966042486721e-16,8.499156692783667e-17,
10,gauss_pivot,8.242288834153831e-05,1.5700924586837752e-16,3.333643525045126e-17,
10,lu,0.00023975787958753175,6.473657049138938e-16,1.3744964371917448e-16,
15,gauss_no_pivot,,,,"Слишком малый ведущий элемент A[11,11] = 9.376712741673e-14"
15,gauss_pivot,,,,Матрица вырождена на шаге 10
15,lu,,,,"LU без перестановок невозможно: U[11,11] = 9.376712741673e-14"
